apiName,associatedTraits,composition,desc,effects,name
TFT9_Augment_WarwickCarry,"['TFT9_Zaun', 'TFT9_Armorclad', 'TFT9_Challenger']",[],"Gain a Warwick. When your strongest Warwick takes or deals damage, he gains @BonusStats@% Attack Damage and @BonusStats@ Ability Power, stacking up to @StackCap@ times. His passive healing is replaced with magic damage on his attacks.","{'BonusStats': 4.0, 'StackCap': 55.0}",Ravenous Hunter
TFT9_Augment_YordleTrait,['TFT9_BandleCity'],[],Your team counts as having 1 additional Yordle. Gain a Kled.,{},Yordle Heart
TFT9_Augment_IxtalEmblem,['Set9_Ixtal'],[],Gain a Ixtal Emblem and a Qiyana.,{},Ixtal Crest
TFT9_Augment_Legend_OnARoll,[],[],"Whenever you star up a champion, gain up to @TurnLimit@ free Shop rerolls per round. Gain @Gold@ gold.","{'Gold': 3.0, 'TurnLimit': 3.0}",On a Roll
TFT9_Augment_ZaunTrait,['TFT9_Zaun'],[],Your team counts as having 1 additional Zaun. Gain a Warwick.,{},Zaun Heart
TFT9_Augment_Commander_ManaJolt1,[],[],Combat start: Your units gain @startingmana@ Mana.,{'startingmana': 20.0},Mana Jolt I
TFT9_Augment_Commander_ManaJolt3,[],[],Combat start: Your units gain @startingmana@ Mana.,{'startingmana': 40.0},Mana Jolt III
TFT9_Augment_Commander_ManaJolt2,[],[],Combat start: Your units gain @startingmana@ Mana.,{'startingmana': 30.0},Mana Jolt II
TFT9_Augment_GiftsFromAbove,[],[],Combat start: Distribute @numitems@ temporary items to the champions with the fewest items.,{'NumItems': 4.0},Spectral Supplies
TFT9_Augment_VanquisherStolenVitality,['Set9b_Vanquisher'],[],"When your Vanquisher's attacks and Abilities critically strike, they heal the ally with the most missing Health by @HealthPercent*100@% of that ally's max Health. Gain 2 Vanquishers.",{'HealthPercent': 0.009999999776482582},Stolen Vitality
TFT9_Augment_GetJinxed,[],[],"After @Delay@ seconds of combat, a Super Mega Death Rocket crashes into the largest clump of enemy units, dealing @Stage2Damage@-@Stage6Damage@ depending on the current stage. Enemies hit have their healing reduced by @GrievousWoundsPercent@% for @Duration@ seconds.","{'Delay': 8.0, 'Duration': 15.0, 'GrievousWoundsPercent': 33.0, 'HexRadius': 2.0, 'Stage2Damage': 250.0, 'Stage3Damage': 300.0, 'Stage4Damage': 350.0, 'Stage5Damage': 425.0, 'Stage6Damage': 500.0}",Get Jinxed!
TFT9_Augment_VoidTrait2,['TFT9_Void'],[],Your team counts as having 1 additional Void. Gain a Zz'Rot Portal and a Rek'Sai.,{},Void Soul
TFT9_Augment_YordleUnstableYordlePortalHR,['TFT9_BandleCity'],[],Twice at Round Start: Gain a random Yordle or @MinGold@-@MaxGold@ gold (based on current Stage). Gain 3 Yordles.,"{'MaxGold': 5.0, 'MinGold': 1.0, '{0fb1f1e5}': 0.5, '{4e351fc8}': 0.20000000298023224}",Unstable Yordle Delivery
TFT9_Augment_StrategistEmblem2,['TFT9_Strategist'],[],"Gain a Strategist Emblem, a Chalice of Power, and a Swain.",{},Strategist Crown
TFT9_Augment_NoScope,[],[],"Units in the first two rows have their range reduced to a maximum of @RangeMax@ but gain @Armor@ Armor, @MagicResist@ Magic Resist, and @AD*100@% Attack Damage per hex of range lost.","{'AD': 0.3499999940395355, 'Armor': 12.0, 'MagicResist': 12.0, 'RangeMax': 2.0}",No Scope
TFT9_Augment_RogueEmblem2,['TFT9_Rogue'],[],"Gain a Rogue Emblem, a Hand of Justice, and a Katarina.",{},Rogue Crown
TFT9_Augment_CosmicWisdom2,[],[],"Buying experience now costs @InitialCost@ gold. Every time you buy experience this turn, increase the cost by @increase@ to a max of @MaxCost@. You can now reach level 10.","{'InitialCost': 1.0, 'MaxCost': 4.0, 'increase': 1.0}",Cosmic Wisdom II
TFT9_Augment_FreljordEmblem2,['TFT9_Freljord'],[],"Gain a Freljord Emblem, an Archangel's Staff, and a Lissandra.",{},Freljord Crown
TFT9_Augment_ExecutionerPlusPlus,[],[],Your units execute enemies below @Healththreshold@% Health on hit. Executions have a @GoldChance@% chance to generate @goldgenerated@ gold.,"{'GoldChance': 25.0, 'HealthThreshold': 12.0, 'goldgenerated': 1.0}",Executioner III
TFT9_Augment_SorcererEmblem,['TFT9_Sorcerer'],[],Gain a Sorcerer Emblem and a Swain.,{},Sorcerer Crest
TFT9_Augment_ChemtechOverdrive,[],[],"Open a portal to Zaun on a random hex in the second row. Any unit that starts combat in the portal gains @Health@ Health and @AttackSpeed*100@% Attack Speed, and drops @Gold@ gold on death.","{'AttackSpeed': 0.4000000059604645, 'Gold': 1.0, 'Health': 500.0}",Chemtech Overdrive
TFT9_Augment_DemaciaTrait,['TFT9_Demacia'],[],Your team counts as having 1 additional Demacia. Gain a Galio.,{},Demacia Heart
TFT9_Augment_LongTimeCraftingHR,[],[],"After @NumberOfCombats@ player combats, gain an Artifact anvil. <br><br><rules>The anvil offers 4 choices. Artifacts are more powerful items with a unique effect.</rules>",{'Numberofcombats': 4.0},Latent Forge
TFT9_Augment_JustKeepRollingHR,[],[],"After you reroll your Shop @Tier1Rolls@ times, rerolls only cost @RefreshCost@ gold.<br><br>(Rerolls this game: @TFTUnitProperty.item:TFT9_JustKeepRollingRolls@)","{'RefreshCost': 1.0, 'Tier1Rolls': 15.0}",Frequent Flier
TFT9_Augment_LissandraCarry,"['TFT9_Freljord', 'TFT9_Preserver']",[],"Gain a Lissandra. Your strongest Lissandra's Ability is larger, and when she gets a takedown on an enemy, they explode in a ring of ice dealing @DamageRatio*100@% of her Ability's damage.",{'DamageRatio': 0.5},No Thaw
TFT9_Augment_PiltoverEmblem,['TFT9_Piltover'],[],Gain a Piltover Emblem and a Vi.,{},Piltover Crest
TFT9_Augment_JuggernautCantStopMe,['TFT9_Armorclad'],[],"Your Juggernauts deal @MinBonusDamage*100@% more damage, increased to @MaxBonusDamage*100@% for the rest of combat when they fall below @HealthThreshold*100@% Health.  Gain 2 Juggernauts.","{'HealthThreshold': 0.6000000238418579, 'MaxBonusDamage': 0.20000000298023224, 'MinBonusDamage': 0.10000000149011612}",Adrenaline Rush
TFT9_Augment_StrengthOfAges,[],[],"At the end of each stage, all units on your board and bench gain @AD*100@% Attack Damage, @AP*100@% Ability Power, and @Health@ Health.","{'AD': 0.15000000596046448, 'AP': 0.15000000596046448, 'Health': 150.0}",Strength Of Ages I
TFT9_Augment_ZaunEmblem2,['TFT9_Zaun'],[],"Gain a Zaun Emblem, a Guardbreaker, and an Ekko.",{},Zaun Crown
TFT9_Augment_FreljordTrait2,['TFT9_Freljord'],[],Your team counts as having 1 additional Freljord. Gain a Redemption and an Ashe.,{},Freljord Soul
TFT9_Augment_BerserkII,[],[],Your units gain @AttackSpeed*100@% Attack Speed per @MissingHealthPercent*100@% missing health.,"{'AttackSpeed': 0.009999999776482582, 'MissingHealthPercent': 0.009999999776482582}",Berserkers II
TFT9_Augment_PhreakyFridayPlusHR,[],[],"Gain an Infinity Force. After @CombatNum@ player combats, gain another.<br><br><rules>Infinity Force: Artifact that offers tons of offensive and defensive stats</rules>",{'CombatNum': 2.0},Phreaky Friday +
TFT9_Augment_ShurimaTrait,['TFT9_Shurima'],[],Your team counts as having 1 additional Shurima. Gain a Taliyah.,{},Shurima Heart
TFT9_Augment_ShurimaEmblem,['TFT9_Shurima'],[],Gain a Shurima Emblem and a Taliyah.,{},Shurima Crest
TFT9_Augment_VanquisherEmblem,['Set9b_Vanquisher'],[],Gain a Vanquisher Emblem and an Ashe.,{},Vanquisher Crest
TFT9_Augment_Commander_Coinpurse3plus,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 30.0},Coinpurse III +
TFT9_Augment_BruiserTitanicStrength,['TFT9_Bruiser'],[],Bruisers gain increased Attack Damage equal to @HealthPercent*100@% of their maximum Health. Gain 2 Bruisers.,{'HealthPercent': 0.014999999664723873},Titanic Strength
TFT9_Augment_ShadowIslesTrait,['TFT9_ShadowIsles'],[],Your team counts as having 1 additional Shadow Isles. Gain a Viego and @Gold@ gold.,{'Gold': 1.0},Shadow Isles Heart
TFT9_Augment_BilgewaterEmblem2,['Set9b_Bilgewater'],[],"Gain a Bilgewater Emblem, a Night Harvester, and a Nautilus.",{},Bilgewater Crown
TFT9_Augment_PumpingUp3HR,[],[],"Your team gains @BaseAS@% Attack Speed now. Each round after, they gain @IncreasePerRound@% more. (current Attack Speed: @TFTUnitProperty.item:TFT9_PumpingUp3Rounds@%)","{'BaseAS': 12.0, 'IncreasePerRound': 4.0}",Pumping Up III
TFT9_Augment_SorcererOverchargedManafont,['TFT9_Sorcerer'],[],"Combat start: Your Sorcerers gain @StartingBonusMana@ mana. The first time each Sorcerer gets a takedown each combat, they gain @TakedownBonusMana@ Mana. Gain 2 Sorcerers.","{'StartingBonusMana': 10.0, 'TakedownBonusMana': 20.0, '{ac78e3c6}': 1.0}",Overcharged Manafont
TFT9_Augment_Commander_Experience2Plus,[],[],Gain @Experience@ XP.,{'Experience': 28.0},Knowledge Download II+
TFT9_Augment_PhreakyFridayHR,[],[],"Gain an Infinity Force. After @CombatNum@ player combats, gain another.<br><br><rules>Infinity Force: Artifact that offers tons of offensive and defensive stats</rules>",{'CombatNum': 3.0},Phreaky Friday
TFT9_Augment_ProtectorTrait,['TFT9_DefTrait'],[],Your team counts as having 1 additional Protector. Gain a Yone.,{},Protector Heart
TFT9_Augment_BerserkIII,[],[],Your units gain @AttackSpeed*100@% Attack Speed per @MissingHealthPercent*100@% missing health.,"{'AttackSpeed': 0.014999999664723873, 'MissingHealthPercent': 0.009999999776482582}",Berserkers III
TFT9_Augment_DeadeyeTrait,['TFT9_Deadeye'],[],Your team counts as having 1 additional Deadeye. Gain an Ashe.,{},Deadeye Heart
TFT9_Augment_NoxusEmblem,['TFT9_Noxus'],[],Gain a Noxus Emblem and a Swain.,{},Noxus Crest
TFT9_Augment_DeadeyeSuppressingFire,['TFT9_Deadeye'],[],The target of your Deadeye units' shared attack deals @DamageReduction*100@% reduced damage for @Duration@ seconds. Gain 2 Deadeyes.,"{'DamageReduction': 0.3499999940395355, 'Duration': 8.0}",Suppressing Fire
TFT9_Augment_DeadeyeEmblem2,['TFT9_Deadeye'],[],"Gain a Deadeye Emblem, a Guinsoo's Rageblade, and an Akshan.",{},Deadeye Crown
TFT9_Augment_BruiserEmblem2,['TFT9_Bruiser'],[],"Gain a Bruiser Emblem, a Redemption, and a Rek'Sai.",{},Bruiser Crown
TFT9_Augment_FortuneFavorsTheBold,[],[],"Winning combat against a player will give bonus orbs. The longer you've gone without an orb, the bigger the payout.",{},Fortune Favors the Bold
TFT9_Augment_PreserverTrait,['TFT9_Preserver'],[],Your team counts as having 1 additional Invoker. Gain a Soraka.,{},Invoker Heart
TFT9_Augment_ArmorcladEmblem2,['TFT9_Armorclad'],[],"Gain an Juggernaut Emblem, a Bloodthirster, and a Darius.",{},Juggernaut Crown
TFT9_Augment_BerserkI,[],[],Your units gain @AttackSpeed*100@% Attack Speed per @MissingHealthPercent*100@% missing health.,"{'AttackSpeed': 0.004999999888241291, 'MissingHealthPercent': 0.009999999776482582}",Berserkers I
TFT9_Augment_ShadowIslesEmblem,['TFT9_ShadowIsles'],[],"Gain a Shadow Isles Emblem, a Maokai, and @Gold@ gold.",{'Gold': 1.0},Shadow Isles Crest
TFT9_Augment_LevelUpGold,[],[],"Gain [newvarplz] XP now. When you buy XP, gain @XP@ more for free.",{'XP': 2.0},Level Up.
TFT9_Augment_PreserverEmblem,['TFT9_Preserver'],[],Gain an Invoker Emblem and a Soraka.,{},Invoker Crest
TFT9_Augment_StrategistTrait,['TFT9_Strategist'],[],Your team counts as having 1 additional Strategist. Gain a Swain.,{},Strategist Heart
TFT9_Augment_Commander_Coinpurse3,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 20.0},Coinpurse III
TFT9_Augment_MulticasterTrait2,['TFT9_Multicaster'],[],Your team counts as having 1 additional Multicaster. Gain a Jeweled Gauntlet and a Vel'Koz.,{},Multicaster Soul
TFT9_Augment_Commander_Coinpurse2,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 15.0},Coinpurse II
TFT9_Augment_Commander_Coinpurse1,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 10.0},Coinpurse I
TFT9_Augment_SwainCarry,"['TFT9_Noxus', 'TFT9_Sorcerer', 'TFT9_Strategist']",[],Gain a Swain. Your strongest Swain deals @DamageAmp*100@% increased damage per @Health@ max Health.,"{'DamageAmp': 0.02500000037252903, 'Health': 100.0}",Demonflare
TFT9_Augment_TargonEmblem2,['TFT9_Targon'],[],"Gain a Targon Emblem, a Redemption, and a Taric.",{},Targon Crown
TFT9_Augment_TargonTrait2,['TFT9_Targon'],[],Your team counts as having 1 additional Targon. Gain a Redemption and a Taric.,{},Targon Soul
TFT9_Augment_TargonTrait,['TFT9_Targon'],[],Your team counts as having 1 additional Targon. Gain a Soraka.,{},Targon Heart
TFT9_Augment_BruiserEmblem,['TFT9_Bruiser'],[],Gain a Bruiser Emblem and a Vi.,{},Bruiser Crest
TFT9_Augment_BruiserTrait,['TFT9_Bruiser'],[],Your team counts as having 1 additional Bruiser. Gain a Vi.,{},Bruiser Heart
TFT9_Augment_ActionSurge2,[],[],"After @CombatDuration@ seconds of combat, your units gain @AttackSpeedBoost*100@% Attack Speed for @AttackSpeedDuration@ seconds.","{'AttackSpeedBoost': 0.800000011920929, 'AttackSpeedDuration': 6.0, 'CombatDuration': 6.0}",Action Surge II
TFT9_Augment_SentinelsShield,[],[],"The unit with with the highest Attack Speed gains a @Shield@ Shield for @Duration@ seconds that grants @AttackSpeed*100@% stacking Attack Speed. When the shield is destroyed or expires, it will bounce to the ally with the lowest percent Health and renew.","{'AttackSpeed': 0.4000000059604645, 'Duration': 3.0, 'Shield': 400.0}",Sentinel's Shield
TFT9_Augment_ActionSurge3,[],[],"After @CombatDuration@ seconds of combat, your units gain @AttackSpeedBoost*100@% Attack Speed for @AttackSpeedDuration@ seconds.","{'AttackSpeedBoost': 1.2999999523162842, 'AttackSpeedDuration': 6.0, 'CombatDuration': 6.0}",Action Surge III
TFT9_Augment_RogueEmblem,['TFT9_Rogue'],[],Gain a Rogue Emblem and a Qiyana.,{},Rogue Crest
TFT9_Augment_FreljordTrait,['TFT9_Freljord'],[],Your team counts as having 1 additional Freljord. Gain an Ashe.,{},Freljord Heart
TFT9_Augment_ChallengerDefensiveDash,['TFT9_Challenger'],[],Combat start and on takedown: Your Challenger units gain @MinShield@-@MaxShield@ Shield (based on current Stage) for @Duration@ seconds. Gain 2 Challenger units.,"{'Duration': 2.5, 'MaxShield': 250.0, 'MinShield': 100.0, '{54b4ed36}': 50.0}",Defensive Dash
TFT9_Augment_ActionSurge,[],[],"After @CombatDuration@ seconds of combat, your units gain @AttackSpeedBoost*100@% Attack Speed for @AttackSpeedDuration@ seconds.","{'AttackSpeedBoost': 0.5, 'AttackSpeedDuration': 6.0, 'CombatDuration': 6.0}",Action Surge
TFT9_Augment_IoniaSentinelsSpirit,['TFT9_Ionia'],[],"While in spirit form, your Ionians gain @BonusAS*100@% Attack Speed and shield themselves for @ShieldRatio*100@% of their maximum Health. Gain 2 Ionians.","{'BonusAS': 0.10000000149011612, 'ShieldRatio': 0.15000000596046448}",Sentinel's Spirit
